"user" "system" "elapsed"
"subplex" 71.329 225.989 44.915
"CollocInfer" 140.64 311.9 113.214
"cops" 151.821 210.552 163.969
"DAISIE" 362.95 261.471 387.399
"DDD" 299.158 840.482 173.479
"diversitree" 140.83 199.151 146.429
"geiger" 154.872 239.903 149.7
"hisse" 295.152 305.522 306.403
"metafor" 537.954 909.695 325.573
"mvMORPH" 274.521 650.314 167.267
"optimx" 114.259 273.097 96.222
"ouch" 62.922 202.035 42.884
"pomp" 122.287 216.681 118.322
"ROI.plugin.optimx" 47.37 158.584 36.885
"secsse" 200.866 314.308 134.631
"simRestore" 104.125 312.447 72.02
